iteration,mechanism,missing_rate,method,outcome,bias,mse,covered,n_effective
15,MCAR,0.1,Complete Case,0,-0.06839912947960997,0.004678440913568449,1,24
15,MCAR,0.1,Complete Case,1,0.13539030848908246,0.018330535632768912,1,24
16,MCAR,0.1,Complete Case,0,-0.06384296502708281,0.004075924183449319,1,25
16,MCAR,0.1,Complete Case,1,0.019711237148438476,0.000388532869921981,1,25
17,MCAR,0.1,Complete Case,0,-0.14360078981807034,0.020621186836373616,1,24
17,MCAR,0.1,Complete Case,1,-0.03972313736195637,0.0015779276418768544,1,24
18,MCAR,0.1,Complete Case,0,0.01151687742539187,0.00013263846563150086,1,25
18,MCAR,0.1,Complete Case,1,-0.045632021423731794,0.0020822813792159174,1,25
19,MCAR,0.1,Complete Case,0,0.050026263753968125,0.002502627065181585,1,24
19,MCAR,0.1,Complete Case,1,0.0429735786756939,0.0018467284641960537,1,24
20,MCAR,0.1,Complete Case,0,0.12977722313137652,0.01684212764369109,1,26
20,MCAR,0.1,Complete Case,1,0.07125541497836141,0.005077334163738492,1,26
21,MCAR,0.1,Complete Case,0,-0.09565732972896257,0.009150324730875466,1,24
21,MCAR,0.1,Complete Case,1,-0.06631548766904313,0.0043977439047830115,1,24
22,MCAR,0.1,Complete Case,0,-0.0860881738166267,0.007411173671081731,1,24
22,MCAR,0.1,Complete Case,1,-0.13700143362558398,0.018769392815465292,1,24
23,MCAR,0.1,Complete Case,0,-0.049199168283824146,0.002420558159820048,1,24
23,MCAR,0.1,Complete Case,1,0.01947993120842839,0.0003794677198851024,1,24
24,MCAR,0.1,Complete Case,0,-0.021359354751104342,0.00045622203538352364,1,24
24,MCAR,0.1,Complete Case,1,-0.12175856416711087,0.014825147948036453,1,24
25,MCAR,0.1,Complete Case,0,-0.14266719338641115,0.020353928068755637,1,24
25,MCAR,0.1,Complete Case,1,-0.038399626716827395,0.0014745313319916842,1,24
26,MCAR,0.1,Complete Case,0,-0.05860070940612999,0.003434043142901692,1,24
26,MCAR,0.1,Complete Case,1,0.007846351544108843,6.156523255373922e-05,1,24
27,MCAR,0.1,Complete Case,0,-0.15816100859196186,0.025014904638826635,1,24
27,MCAR,0.1,Complete Case,1,0.0552347139038008,0.0030508736200347258,1,24
28,MCAR,0.1,Complete Case,0,-0.09867663131728183,0.009737077568126765,1,24
28,MCAR,0.1,Complete Case,1,-0.2424478428762512,0.05878095651534739,0,24
29,MCAR,0.1,Complete Case,0,0.032684232174299166,0.0010682590328234928,1,24
29,MCAR,0.1,Complete Case,1,0.10614198076395615,0.011266120080496036,1,24
30,MCAR,0.1,Complete Case,0,0.19061458845307655,0.03633392133113574,0,24
30,MCAR,0.1,Complete Case,1,0.12604819396792288,0.01588814720257511,1,24
31,MCAR,0.1,Complete Case,0,0.09646981331276816,0.009306424880600342,1,24
31,MCAR,0.1,Complete Case,1,0.036038906970078166,0.0012988028155979487,1,24
32,MCAR,0.1,Complete Case,0,-0.07604045397954295,0.00578215064141499,1,24
32,MCAR,0.1,Complete Case,1,-0.13605962995752388,0.01851222290417833,1,24
33,MCAR,0.1,Complete Case,0,0.017666949451611957,0.000312121102925812,1,25
33,MCAR,0.1,Complete Case,1,-0.021243568571894078,0.0004512892056687658,1,25
34,MCAR,0.1,Complete Case,0,-0.10183558317355779,0.010370486000298607,1,24
34,MCAR,0.1,Complete Case,1,-0.06511324962825552,0.004239735277151517,1,24
35,MCAR,0.1,Complete Case,0,-0.055298997940573746,0.0030579791732315794,1,24
35,MCAR,0.1,Complete Case,1,-0.009859112094142142,9.720209128485985e-05,1,24
36,MCAR,0.1,Complete Case,0,0.015952407114934286,0.000254479292760606,1,24
36,MCAR,0.1,Complete Case,1,-0.05793909316297932,0.0033569385165483972,1,24
37,MCAR,0.1,Complete Case,0,-0.0024980760159212245,6.240383781320858e-06,1,24
37,MCAR,0.1,Complete Case,1,0.0058136076003830195,3.379803333123121e-05,1,24
38,MCAR,0.1,Complete Case,0,0.05313047283447203,0.0028228471436145706,1,24
38,MCAR,0.1,Complete Case,1,0.1648255871988692,0.027167474195452034,0,24
39,MCAR,0.1,Complete Case,0,0.049541120072349565,0.002454322578022957,1,24
39,MCAR,0.1,Complete Case,1,0.018832020028253516,0.00035464497834454154,1,24
40,MCAR,0.1,Complete Case,0,0.137126398212031,0.018803649086604497,1,24
40,MCAR,0.1,Complete Case,1,0.16801220739404132,0.028228101833418354,1,24
41,MCAR,0.1,Complete Case,0,-0.04081651924705243,0.0016659882434450013,1,24
41,MCAR,0.1,Complete Case,1,-0.05956175943895531,0.0035476031874639817,1,24
42,MCAR,0.1,Complete Case,0,-0.04495991357430518,0.002021393828608991,1,24
42,MCAR,0.1,Complete Case,1,-0.036554460416467704,0.0013362285763391043,1,24
43,MCAR,0.1,Complete Case,0,0.0756549714070569,0.005723674698602597,1,25
43,MCAR,0.1,Complete Case,1,-0.09172900208642307,0.008414209823771007,1,25
44,MCAR,0.1,Complete Case,0,-0.014687625496903778,0.00021572634273729795,1,24
44,MCAR,0.1,Complete Case,1,-0.0852839715922458,0.007273355810546988,1,24
45,MCAR,0.1,Complete Case,0,-0.03991721836484069,0.0015933843219863748,1,24
45,MCAR,0.1,Complete Case,1,-0.0889960588281885,0.007920298486950389,1,24
46,MCAR,0.1,Complete Case,0,-0.0019668005482929574,3.868304396765477e-06,1,24
46,MCAR,0.1,Complete Case,1,0.06863176043437136,0.004710318540320941,1,24
47,MCAR,0.1,Complete Case,0,0.050726745959233877,0.0025732027556126503,1,24
47,MCAR,0.1,Complete Case,1,0.05658153778292957,0.0032014704178810866,1,24
48,MCAR,0.1,Complete Case,0,-0.04858478889286311,0.002360481711764074,1,24
48,MCAR,0.1,Complete Case,1,0.04329034030864948,0.0018740535640386817,1,24
49,MCAR,0.1,Complete Case,0,0.021334316307988654,0.00045515305232931067,1,24
49,MCAR,0.1,Complete Case,1,0.037594308216755024,0.0014133320102963742,1,24
50,MCAR,0.1,Complete Case,0,0.18874805483589974,0.03562582820433582,0,24
50,MCAR,0.1,Complete Case,1,0.15126809184798112,0.022882035611329253,1,24
51,MCAR,0.1,Complete Case,0,0.09127769083894721,0.008331616844890428,1,24
51,MCAR,0.1,Complete Case,1,0.21141462765111368,0.044696144784859046,0,24
52,MCAR,0.1,Complete Case,0,0.09065488615901807,0.008218308384504526,1,24
52,MCAR,0.1,Complete Case,1,0.09934111111876365,0.009868656358310546,1,24
53,MCAR,0.1,Complete Case,0,0.015229398150014894,0.0002319345680116771,1,24
53,MCAR,0.1,Complete Case,1,-0.099950445498592,0.00999009155536701,1,24
54,MCAR,0.1,Complete Case,0,0.12545735154656623,0.015739547057078706,1,24
54,MCAR,0.1,Complete Case,1,0.2235617323469518,0.04997984816997012,1,24
55,MCAR,0.1,Complete Case,0,-0.09881298270556677,0.009764005551170636,1,24
