iteration,method,n_studies,n_outcomes,true_rho,true_tau2,outcome,theta_est,theta_se,bias,mse,covered,ci_width,tau2_est,tau2_bias,rho_est,rho_bias,converged
0,REML,10,2,0.0,0.099856,0,-0.13315660347013658,0.16727462612975877,-0.13315660347013658,0.01773068104770319,1,0.6557165344286544,0.20843988625093876,0.10858388625093876,0.08413155093157428,0.08413155093157428,1
0,REML,10,2,0.0,0.099856,1,0.3061813615082875,0.11413793786309513,0.3061813615082875,0.09374702613506865,0,0.4474207164233329,0.06742573766078284,-0.032430262339217156,,,1
0,ML,10,2,0.0,0.099856,0,-0.1276623058113847,0.15682737324623428,-0.1276623058113847,0.016297664325079512,1,0.6147633031252383,0.17588351105697367,0.07602751105697367,0.061988286421447256,0.061988286421447256,1
0,ML,10,2,0.0,0.099856,1,0.30809706234694995,0.10856626022997952,0.30809706234694995,0.09492379982682037,0,0.42557974010151967,0.056473905899524966,-0.043382094100475034,,,1
1,REML,10,2,0.0,0.099856,0,0.028088908135522776,0.10103411997446309,0.028088908135522776,0.0007889867602458376,1,0.3960537502998953,5.199203227126265e-05,-0.09980400796772874,-0.9996425103928708,-0.9996425103928708,1
1,REML,10,2,0.0,0.099856,1,0.02069765910129146,0.12540864872297963,0.02069765910129146,0.0004283930922732733,1,0.49160190299408013,0.05247973479778107,-0.04737626520221893,,,1
1,ML,10,2,0.0,0.099856,0,0.028094471700286987,0.1010338962674014,0.028094471700286987,0.0007892993401182264,1,0.3960528733682135,5.1195221855807204e-05,-0.0998048047781442,-0.9996631269468397,-0.9996631269468397,1
1,ML,10,2,0.0,0.099856,1,0.0197567647859804,0.11790334927357453,0.0197567647859804,0.0003903297548085551,1,0.46218112915241216,0.034883205292436596,-0.0649727947075634,,,1
2,REML,10,2,0.0,0.099856,0,0.2171341100019415,0.17588552495341644,0.2171341100019415,0.04714722172633523,1,0.6894712578173925,0.24563141413399717,0.14577541413399717,0.1377164158188633,0.1377164158188633,1
2,REML,10,2,0.0,0.099856,1,0.046535348703154136,0.07660683807100008,0.046535348703154136,0.0021655386789241494,1,0.3002988052383203,0.01261753419883023,-0.08723846580116977,,,1
2,ML,10,2,0.0,0.099856,0,0.21622959854374602,0.16768616537741923,0.21622959854374602,0.04675523928638957,1,0.6573297682794834,0.21825973112092925,0.11840373112092925,0.14554134065234692,0.14554134065234692,1
2,ML,10,2,0.0,0.099856,1,0.05078323103138847,0.07270313879048618,0.05078323103138847,0.0025789365539873772,1,0.2849963040587058,0.008324027136370277,-0.09153197286362973,,,1
3,REML,10,2,0.0,0.099856,0,-0.044320643325503596,0.16793007210109576,-0.044320643325503596,0.0019643194247865063,1,0.6582858826362954,0.20402877794902974,0.10417277794902974,0.4106872314233618,0.4106872314233618,1
3,REML,10,2,0.0,0.099856,1,0.17849572763054036,0.1409743843867706,0.17849572763054036,0.03186072478235605,1,0.5526195867961408,0.12447458357039978,0.024618583570399782,,,1
3,ML,10,2,0.0,0.099856,0,-0.051815888137056315,0.15339354660486065,-0.051815888137056315,0.0026848862634319334,1,0.6013027026910538,0.15898427893681144,0.05912827893681144,0.37617700606792276,0.37617700606792276,1
3,ML,10,2,0.0,0.099856,1,0.17416102242500803,0.13052476708857544,0.17416102242500803,0.03033206173212415,1,0.5116570869872157,0.0979811024485949,-0.0018748975514051025,,,1
4,REML,10,2,0.0,0.099856,0,0.17547855768926832,0.08082293038164043,0.17547855768926832,0.03079272420870587,0,0.3168258870960305,0.012044171532517682,-0.08781182846748231,0.04847211032361883,0.04847211032361883,1
4,REML,10,2,0.0,0.099856,1,0.2738481437894666,0.10586548536980943,0.2738481437894666,0.07499280585693636,0,0.41499270264965293,0.053769459380267004,-0.046086540619732996,,,1
4,ML,10,2,0.0,0.099856,0,0.18435159676569118,0.07078560695613349,0.18435159676569118,0.03398551123006,0,0.27747957926804323,0.0004472309705044997,-0.0994087690294955,0.9998172276673244,0.9998172276673244,1
4,ML,10,2,0.0,0.099856,1,0.2787903968518734,0.10091688386560117,0.2787903968518734,0.07772408537682506,0,0.39559418475315666,0.044206455676363894,-0.055649544323636106,,,1
5,REML,10,2,0.0,0.099856,0,-0.11007782408038394,0.15300253665897426,-0.11007782408038394,0.012117127354271954,1,0.599769943703179,0.16445495474131588,0.06459895474131588,0.24250221435186559,0.24250221435186559,1
5,REML,10,2,0.0,0.099856,1,-0.19876161326486827,0.10505279321511413,-0.19876161326486827,0.03950617890765306,1,0.41180694940324736,0.04956745044509812,-0.05028854955490188,,,1
5,ML,10,2,0.0,0.099856,0,-0.11512772789004407,0.14280747155628237,-0.11512772789004407,0.01325439372912403,1,0.5598052885006269,0.1356586197289441,0.03580261972894411,0.2315233566841229,0.2315233566841229,1
5,ML,10,2,0.0,0.099856,1,-0.20365979244466095,0.10092414421032189,-0.20365979244466095,0.041477311058602376,0,0.3956226453044618,0.0422595430388314,-0.0575964569611686,,,1
6,REML,10,2,0.0,0.099856,0,-0.007567232794229721,0.13567607577875923,-0.007567232794229721,5.726301216206575e-05,1,0.5318502170527362,0.11202824498912281,0.01217224498912281,0.07437274413884125,0.07437274413884125,1
