iteration,method,n_studies,n_outcomes,true_rho,true_tau2,outcome,theta_est,theta_se,bias,mse,covered,ci_width,tau2_est,tau2_bias,rho_est,rho_bias,converged
6,REML,10,2,0.0,0.099856,1,-0.006550205821869939,0.10128002415859214,-0.006550205821869939,4.290519630885885e-05,1,0.3970176947016812,0.039277273157561285,-0.060578726842438715,,,1
6,ML,10,2,0.0,0.099856,0,-0.00848897060013092,0.12989797610499842,-0.00848897060013092,7.206262184988712e-05,1,0.5092000663315939,0.09797699247717305,-0.0018790075228269504,0.04349484670731567,0.04349484670731567,1
6,ML,10,2,0.0,0.099856,1,-0.008348985823927055,0.09337965031112481,-0.008348985823927055,6.970556428813492e-05,1,0.3660482292196093,0.02702036264997131,-0.0728356373500287,,,1
7,REML,10,2,0.0,0.099856,0,0.027223446959668735,0.08264088344454887,0.027223446959668735,0.0007411160643658969,1,0.32395226310263153,0.009373814287356522,-0.09048218571264348,-0.30603798492244316,-0.30603798492244316,1
7,REML,10,2,0.0,0.099856,1,-0.2597270424649947,0.16905665368541367,-0.2597270424649947,0.06745813658761314,1,0.6627020824468217,0.2153056663768271,0.1154496663768271,,,1
7,ML,10,2,0.0,0.099856,0,0.03159786448167395,0.0770546480885714,0.03159786448167395,0.0009984250398022319,1,0.3020542205071999,0.0022250205043185737,-0.09763097949568143,-0.8368887624600303,-0.8368887624600303,1
7,ML,10,2,0.0,0.099856,1,-0.2586148847609641,0.16003935342267733,-0.2586148847609641,0.06688165861992675,1,0.6273542654168951,0.1864911699483846,0.0866351699483846,,,1
8,REML,10,2,0.0,0.099856,0,-0.13363512106581948,0.14058887604691495,-0.13363512106581948,0.017858345582276232,1,0.5511083941039066,0.12366142889170555,0.023805428891705546,-0.9999999997457536,-0.9999999997457536,1
8,REML,10,2,0.0,0.099856,1,-0.35198487394804306,0.08554623004360265,-0.35198487394804306,0.12389335148821977,0,0.33534122177092235,0.016064567421541467,-0.08379143257845853,,,1
8,ML,10,2,0.0,0.099856,0,-0.13602257223304995,0.13423675021768752,-0.13602257223304995,0.018502140156895292,1,0.526208060853335,0.10705256164150645,0.007196561641506449,-0.9999999999996739,-0.9999999999996739,1
8,ML,10,2,0.0,0.099856,1,-0.35064377109592465,0.08401879018643536,-0.35064377109592465,0.1229510542083712,0,0.32935365753082657,0.0136323470903203,-0.0862236529096797,,,1
9,REML,10,2,0.0,0.099856,0,-0.10634016515669223,0.11649591818366999,-0.10634016515669223,0.01130823072555258,1,0.45666399927998635,0.0595011796511795,-0.0403548203488205,-0.39912155356680673,-0.39912155356680673,1
9,REML,10,2,0.0,0.099856,1,-0.010971618454550741,0.12277437295484134,-0.010971618454550741,0.0001203764115122384,1,0.48127554198297806,0.07327514323048377,-0.02658085676951623,,,1
9,ML,10,2,0.0,0.099856,0,-0.11208603816840647,0.10827921676639081,-0.11208603816840647,0.012563279952289471,1,0.42445452972425196,0.04328153234027546,-0.05657446765972454,-0.5712697307874549,-0.5712697307874549,1
9,ML,10,2,0.0,0.099856,1,-0.01902449908300236,0.11425015396368231,-0.01902449908300236,0.00036193156535915756,1,0.4478606035376346,0.05521412224254845,-0.04464187775745155,,,1
10,REML,10,2,0.0,0.099856,0,-0.09599868076622811,0.12455673474238889,-0.09599868076622811,0.009215746708856176,1,0.4882624001901644,0.0780625036435682,-0.021793496356431796,-0.9999999999999374,-0.9999999999999374,1
10,REML,10,2,0.0,0.099856,1,0.01858570137878436,0.09300182529512435,0.01858570137878436,0.0003454282957413469,1,0.3645671551568875,0.01752132254503989,-0.0823346774549601,,,1
10,ML,10,2,0.0,0.099856,0,-0.09114881860029758,0.11887100199400294,-0.09114881860029758,0.008308107132229955,1,0.4659743278164915,0.06492503320324043,-0.03493096679675957,-0.9999999996082479,-0.9999999996082479,1
10,ML,10,2,0.0,0.099856,1,0.015936022640720214,0.09114235851464561,0.015936022640720214,0.0002539568176055473,1,0.3572780453774108,0.01429652278315003,-0.08555947721684998,,,1
11,REML,10,2,0.0,0.099856,0,-0.16065810339385006,0.12991903608895272,-0.16065810339385006,0.025811026186109018,1,0.5092826214686946,0.10433096816631678,0.004474968166316776,-0.26544772243231224,-0.26544772243231224,1
11,REML,10,2,0.0,0.099856,1,0.13163442366138575,0.10105767135098938,0.13163442366138575,0.017327621492665195,1,0.39614607169587834,0.04460798624309583,-0.05524801375690417,,,1
11,ML,10,2,0.0,0.099856,0,-0.1616352758949496,0.12283277897965626,-0.1616352758949496,0.02612596241363648,1,0.48150449360025255,0.08811349525636802,-0.011742504743631976,-0.321492343923235,-0.321492343923235,1
11,ML,10,2,0.0,0.099856,1,0.12831720577927794,0.0961326035540186,0.12831720577927794,0.01646530529900156,1,0.3768398059317529,0.03646396828547091,-0.06339203171452909,,,1
12,REML,10,2,0.0,0.099856,0,-0.20334916826265526,0.09949509515353173,-0.20334916826265526,0.04135088423311368,0,0.39002077300184435,0.01940210563634199,-0.08045389436365802,-0.9999999999998443,-0.9999999999998443,1
12,REML,10,2,0.0,0.099856,1,-0.29118409046652954,0.09465290021120398,-0.29118409046652954,0.08478817454082006,0,0.37103936882791955,0.011074704898215377,-0.08878129510178462,,,1
12,ML,10,2,0.0,0.099856,0,-0.20555679177079078,0.09687047080550283,-0.20555679177079078,0.04225359464310024,0,0.3797322455575711,0.01469917728495281,-0.0851568227150472,-0.9999999999870032,-0.9999999999870032,1
12,ML,10,2,0.0,0.099856,1,-0.2893542401879071,0.09287938567426302,-0.2893542401879071,0.08372587631472105,0,0.364087191843111,0.008053204362241596,-0.09180279563775841,,,1
13,REML,10,2,0.0,0.099856,0,-0.017487218840108898,0.08846355753142866,-0.017487218840108898,0.0003058028227618596,1,0.3467771455232004,0.010998941585915679,-0.08885705841408433,-0.2914006541679023,-0.2914006541679023,1
13,REML,10,2,0.0,0.099856,1,0.13374730484040515,0.18463031522166082,0.13374730484040515,0.01788834155207226,1,0.7237508356689104,0.2612800079073924,0.16142400790739242,,,1
13,ML,10,2,0.0,0.099856,0,-0.022642583885535077,0.08068730032553627,-0.022642583885535077,0.0005126866050134927,1,0.3162942172761022,0.0010232268121178909,-0.09883277318788211,-0.999999993931988,-0.999999993931988,1
13,ML,10,2,0.0,0.099856,1,0.1279862801320726,0.1730334319336967,0.1279862801320726,0.016380487902045365,1,0.678291053180091,0.22064332917662452,0.12078732917662452,,,1
14,REML,10,2,0.0,0.099856,0,-0.08273991383158846,0.13090584496080812,-0.08273991383158846,0.006845893340858684,1,0.5131509122463678,0.11395165041309055,0.014095650413090549,-0.18885402264499357,-0.18885402264499357,1
14,REML,10,2,0.0,0.099856,1,-0.00405590830504889,0.09841966110041622,-0.00405590830504889,1.6450392178964562e-05,1,0.3858050715136316,0.04363542578352453,-0.05622057421647547,,,1
14,ML,10,2,0.0,0.099856,0,-0.08459364873434856,0.12341422834863211,-0.08459364873434856,0.007156085406190352,1,0.48378377512663784,0.09589204637786701,-0.00396395362213299,-0.264064270945604,-0.264064270945604,1
14,ML,10,2,0.0,0.099856,1,-0.01232161110052409,0.09279944028774029,-0.01232161110052409,0.00015182210011255849,1,0.3637738059279419,0.03447496628365283,-0.06538103371634717,,,1
15,REML,10,2,0.0,0.099856,0,-0.12284884373456174,0.13912674250089085,-0.12284884373456174,0.015091838406918771,1,0.5453768306034922,0.10667685932110729,0.006820859321107292,-0.29653892605049714,-0.29653892605049714,1
15,REML,10,2,0.0,0.099856,1,0.17551785271293135,0.1543897629689497,0.17551785271293135,0.030806516620958263,1,0.6052078708382829,0.14863202621574365,0.048776026215743645,,,1
15,ML,10,2,0.0,0.099856,0,-0.12252124332325223,0.1307997663136749,-0.12252124332325223,0.01501145506547558,1,0.5127350839496057,0.08611834513517197,-0.01373765486482803,-0.32332381541765987,-0.32332381541765987,1
15,ML,10,2,0.0,0.099856,1,0.17398287973812931,0.14770002760726225,0.17398287973812931,0.03027004244197237,1,0.578984108220468,0.12974499730062536,0.02988899730062536,,,1
16,REML,10,2,0.0,0.099856,0,-0.08863208937651536,0.11298326173381235,-0.08863208937651536,0.007855647267246607,1,0.4428943859965444,0.055625975858035276,-0.044230024141964724,0.043966744361748904,0.043966744361748904,1
16,REML,10,2,0.0,0.099856,1,-0.06636825786304401,0.14847273489477653,-0.06636825786304401,0.004404745651775503,1,0.582013120787524,0.13591201241319983,0.036056012413199834,,,1
16,ML,10,2,0.0,0.099856,0,-0.09376544485074033,0.10135915415397073,-0.09376544485074033,0.008791958648057227,1,0.39732788428356525,0.03684077475940363,-0.06301522524059637,-0.01203832866161854,-0.01203832866161854,1
16,ML,10,2,0.0,0.099856,1,-0.06615674556755723,0.13933034649911025,-0.06615674556755723,0.004376714984090503,1,0.5461749582765122,0.11268660562293824,0.012830605622938238,,,1
17,REML,10,2,0.0,0.099856,0,-0.17275518178006477,0.12670095059403133,-0.17275518178006477,0.029844352831863222,1,0.4966677263286028,0.07894936710303864,-0.02090663289696136,0.15463729897877002,0.15463729897877002,1
17,REML,10,2,0.0,0.099856,1,0.11008583605461443,0.10651314471217795,0.11008583605461443,0.012118891299843447,1,0.41753152727173753,0.04080015073907862,-0.05905584926092138,,,1
17,ML,10,2,0.0,0.099856,0,-0.16200925468795133,0.07995185388652384,-0.16200925468795133,0.02624699860454548,0,0.3134112672351735,0.01838222387007029,-0.0814737761299297,-0.9999999999999959,-0.9999999999999959,1
17,ML,10,2,0.0,0.099856,1,0.12630115700154293,0.07852520702924824,0.12630115700154293,0.015951982259928398,1,0.30781881155465307,0.017213342035367202,-0.0826426579646328,,,1
18,REML,10,2,0.0,0.099856,0,-0.06960196509661626,0.22445092687595813,-0.06960196509661626,0.004844433545310588,1,0.8798476333537558,0.4270464346053281,0.3271904346053281,0.037944887993663905,0.037944887993663905,1
18,REML,10,2,0.0,0.099856,1,-0.13003065028687205,0.1776327800212095,-0.13003065028687205,0.01690797001402682,1,0.6963204976831412,0.24188145461897903,0.14202545461897903,,,1
18,ML,10,2,0.0,0.099856,0,-0.0743873542027614,0.21179611085569566,-0.0743873542027614,0.005533478465287083,1,0.830240754554327,0.3726507935945269,0.2727947935945269,0.01815815925166611,0.01815815925166611,1
18,ML,10,2,0.0,0.099856,1,-0.13332699939288303,0.16491408622176967,-0.13332699939288303,0.017776088767109833,1,0.6464632179893371,0.19972025461395235,0.09986425461395235,,,1
19,REML,10,2,0.0,0.099856,0,0.15192908325096816,0.12693674718879275,0.15192908325096816,0.023082446337479613,1,0.4975920489800675,0.11091161835906523,0.011055618359065225,0.26333676129644723,0.26333676129644723,1
19,REML,10,2,0.0,0.099856,1,-0.08388125517663222,0.12845135293694251,-0.08388125517663222,0.0070360649700072905,1,0.5035293035128147,0.11460018568093304,0.014744185680933039,,,1
19,ML,10,2,0.0,0.099856,0,0.14843320825615688,0.11893331270510504,0.14843320825615688,0.02203241731321564,1,0.46621858580401176,0.09225991017910626,-0.007596089820893742,0.2549438848628392,0.2549438848628392,1
19,ML,10,2,0.0,0.099856,1,-0.08705366992677682,0.12232819437159675,-0.08705366992677682,0.007578341447720207,1,0.47952652193665923,0.1000070700848579,0.00015107008485790163,,,1
20,REML,10,2,0.0,0.099856,0,0.14824206938780501,0.13970206828654405,0.14824206938780501,0.021975711136378796,1,0.5476321076832527,0.12772377112450853,0.027867771124508528,-0.9999999999944854,-0.9999999999944854,1
20,REML,10,2,0.0,0.099856,1,0.07887690091664937,0.14816843540101485,0.07887690091664937,0.006221565498214922,1,0.5808202667719782,0.15123952246158892,0.05138352246158892,,,1
20,ML,10,2,0.0,0.099856,0,0.1495984696034874,0.13369953336761276,0.1495984696034874,0.022379702107705547,1,0.524102170801042,0.11146080754788751,0.011604807547887508,-0.9999999999999951,-0.9999999999999951,1
20,ML,10,2,0.0,0.099856,1,0.07768898463178117,0.14201756149386885,0.07768898463178117,0.006035578333117131,1,0.5567088410559659,0.13350437328442197,0.03364837328442197,,,1
21,REML,10,2,0.0,0.099856,0,0.03897029203868146,0.15050018554848202,0.03897029203868146,0.0015186836615801193,1,0.5899607273500495,0.12853082333302215,0.028674823333022154,-0.33052768259729093,-0.33052768259729093,1
21,REML,10,2,0.0,0.099856,1,0.06469511501416418,0.15087622053695898,0.06469511501416418,0.004185457906695932,1,0.5914347845048792,0.12959605269001465,0.029740052690014646,,,1
21,ML,10,2,0.0,0.099856,0,0.04864580629234054,0.13825675148396074,0.04864580629234054,0.0023664144698319184,1,0.5419664658171262,0.09610447351675752,-0.003751526483242479,-0.4564155542930971,-0.4564155542930971,1
21,ML,10,2,0.0,0.099856,1,0.06751935881254516,0.14234687945944507,0.06751935881254516,0.004558863814457219,1,0.5579997674810246,0.10674381814375816,0.006887818143758162,,,1
22,REML,10,2,0.0,0.099856,0,0.17755617172817298,0.11490981061328953,0.17755617172817298,0.03152619411876445,1,0.45044645760409496,0.03983450784868489,-0.06002149215131511,-0.9999999999999606,-0.9999999999999606,1
22,REML,10,2,0.0,0.099856,1,0.013104761317873657,0.11717476666502337,0.013104761317873657,0.0001717347691984377,1,0.4593250853268916,0.04452372890083102,-0.05533227109916898,,,1
22,ML,10,2,0.0,0.099856,0,0.17569686785942482,0.11154980738768658,0.17569686785942482,0.030869389375612184,1,0.43727524495973136,0.032725449413131914,-0.06713055058686809,-0.9999999999990564,-0.9999999999990564,1
22,ML,10,2,0.0,0.099856,1,0.015189333397874762,0.11330166004990533,0.015189333397874762,0.00023071584907179366,1,0.4441425073956289,0.03620517150648456,-0.06365082849351544,,,1
23,REML,10,2,0.0,0.099856,0,0.43298007572631964,0.16853066138929818,0.43298007572631964,0.1874717459759695,0,0.6606401926460488,0.20151646493117514,0.10166046493117514,-1.0,-1.0,1
23,REML,10,2,0.0,0.099856,1,0.11288292419075281,0.12617049932003868,0.11288292419075281,0.012742554573855246,1,0.49458835733455164,0.07986640683290956,-0.01998959316709044,,,1
23,ML,10,2,0.0,0.099856,0,0.4335296299630707,0.16102520642806062,0.4335296299630707,0.187947940055917,0,0.6312188091979977,0.1768988496908495,0.07704284969084951,-0.999999998967136,-0.999999998967136,1
23,ML,10,2,0.0,0.099856,1,0.11248387690502272,0.12210376083313747,0.11248387690502272,0.012652622563584303,1,0.4786467424658989,0.06982445611603454,-0.030031543883965464,,,1
24,REML,10,2,0.0,0.099856,0,-0.29437161937925005,0.14081678109648518,-0.29437161937925005,0.08665465029596206,0,0.5520017818982219,0.12350614662931825,0.023650146629318247,-0.732621878460008,-0.732621878460008,1
24,REML,10,2,0.0,0.099856,1,0.10860619437300906,0.15270170230539104,0.10860619437300906,0.011795305456187824,1,0.5985906730371329,0.15630072618203966,0.05644472618203966,,,1
24,ML,10,2,0.0,0.099856,0,-0.2853886906597578,0.12337385273379806,-0.2853886906597578,0.08144670475649093,0,0.4836255027164884,0.08376920294552959,-0.016086797054470414,-0.9195126317702096,-0.9195126317702096,1
24,ML,10,2,0.0,0.099856,1,0.11460691356753588,0.14469526132993804,0.11460691356753588,0.013134744637476641,1,0.5672054244133571,0.1361686645756726,0.03631266457567259,,,1
25,REML,10,2,0.0,0.099856,0,-0.028124530514506765,0.13593918477834632,-0.028124530514506765,0.0007909892166614222,1,0.5328816043311175,0.11053297844546901,0.010676978445469013,0.9999999991880082,0.9999999991880082,1
25,REML,10,2,0.0,0.099856,1,-0.04197412542685604,0.0764423890314274,-0.04197412542685604,0.0017618272053494426,1,0.2996541650031954,0.003425933179077824,-0.09643006682092217,,,1
25,ML,10,2,0.0,0.099856,0,-0.03037085057668845,0.1292515018830226,-0.03037085057668845,0.0009223885647515371,1,0.5066658873814486,0.09399901885245956,-0.005856981147540435,0.9999999999724014,0.9999999999724014,1
25,ML,10,2,0.0,0.099856,1,-0.04236572530233169,0.07608349378094906,-0.04236572530233169,0.0017948546803926272,1,0.2982472956213203,0.00291537562405629,-0.09694062437594371,,,1
26,REML,10,2,0.0,0.099856,0,0.16352748627062408,0.1099614934448004,0.16352748627062408,0.026741238765989148,1,0.4310490543036176,0.023075482397275474,-0.07678051760272453,-0.9999999999998096,-0.9999999999998096,1
26,REML,10,2,0.0,0.099856,1,0.26034282884484417,0.11381074846633905,0.26034282884484417,0.06777838853093582,0,0.446138133988049,0.030709528897766843,-0.06914647110223315,,,1
26,ML,10,2,0.0,0.099856,0,0.1659310293692178,0.10734282302287408,0.1659310293692178,0.027533106507528222,1,0.4207838662496664,0.017846266928804113,-0.08200973307119588,-0.9999999999997601,-0.9999999999997601,1
26,ML,10,2,0.0,0.099856,1,0.25728191453229754,0.10989374077967251,0.25728191453229754,0.06619398354540446,0,0.43078346385631616,0.022707004096424392,-0.0771489959035756,,,1
27,REML,10,2,0.0,0.099856,0,-0.06330733992975075,0.15392894274010244,-0.06330733992975075,0.004007819288981014,1,0.6034014555412015,0.17173773632034328,0.07188173632034328,0.7042337955122774,0.7042337955122774,1
27,REML,10,2,0.0,0.099856,1,0.06800058644122783,0.1404944071437054,0.06800058644122783,0.004624079756350899,1,0.5507380760033251,0.1347623982182266,0.03490639821822661,,,1
27,ML,10,2,0.0,0.099856,0,-0.057388826324711074,0.1456104609482172,-0.057388826324711074,0.003293477386927851,1,0.5707930069170114,0.14809625227267692,0.04824025227267692,0.7287099254475806,0.7287099254475806,1
27,ML,10,2,0.0,0.099856,1,0.06472019631003122,0.13099403605436588,0.06472019631003122,0.004188703810408978,1,0.5134966213331142,0.110953062667479,0.011097062667478994,,,1
28,REML,10,2,0.0,0.099856,0,0.1491602611480141,0.08680756094433337,0.1491602611480141,0.02224878350574376,1,0.3402856389017868,0.02118831926872502,-0.07866768073127497,-0.7455377014679238,-0.7455377014679238,1
28,REML,10,2,0.0,0.099856,1,-0.1844316555631218,0.12531645719429682,-0.1844316555631218,0.034015035573753995,1,0.49124051220164355,0.09322805555177172,-0.0066279444482282845,,,1
28,ML,10,2,0.0,0.099856,0,0.15222926488978653,0.0807279126228485,0.15222926488978653,0.023173749088884792,1,0.3164534174815661,0.01381544871504947,-0.08604055128495053,-0.9999999802170758,-0.9999999802170758,1
28,ML,10,2,0.0,0.099856,1,-0.1822112355120061,0.11742549238776473,-0.1822112355120061,0.033200934346811754,1,0.46030793016003774,0.076238682560812,-0.023617317439188004,,,1
29,REML,10,2,0.0,0.099856,0,-0.06026523242670053,0.08929869974532839,-0.06026523242670053,0.003631898239444237,1,0.3500509030016873,0.030011622951668877,-0.06984437704833113,0.5792665775883346,0.5792665775883346,1
29,REML,10,2,0.0,0.099856,1,0.17933601365381938,0.1711570790034217,0.17933601365381938,0.03216140579324289,1,0.6709357496934131,0.22666448565157252,0.12680848565157252,,,1
29,ML,10,2,0.0,0.099856,0,-0.06385110818521451,0.08167127245214952,-0.06385110818521451,0.004076964016479968,1,0.3201513880124261,0.01980908697926066,-0.08004691302073934,0.6355467231471623,0.6355467231471623,1
29,ML,10,2,0.0,0.099856,1,0.17660662282653586,0.16309735127941252,0.17660662282653586,0.031189899226194296,1,0.6393416170152971,0.20062575808913274,0.10076975808913274,,,1
30,REML,10,2,0.0,0.099856,0,-0.16124057324717256,0.10378867667291804,-0.16124057324717256,0.02599852246107682,1,0.40685161255783875,0.06856318846843443,-0.03129281153156557,-0.7099055402353056,-0.7099055402353056,1
30,REML,10,2,0.0,0.099856,1,0.13779640725660228,0.15302748236434133,0.13779640725660228,0.018987849852827393,1,0.599867730868218,0.18783127516227144,0.08797527516227144,,,1
30,ML,10,2,0.0,0.099856,0,-0.16456675727212466,0.09835251770967958,-0.16456675727212466,0.027082217599062396,1,0.3855418694219439,0.05869243525598553,-0.04116356474401447,-0.7200477822570241,-0.7200477822570241,1
30,ML,10,2,0.0,0.099856,1,0.134588685110164,0.14428410539276362,0.134588685110164,0.018114114159682882,1,0.5655936931396334,0.1627967343134622,0.0629407343134622,,,1
31,REML,10,2,0.0,0.099856,0,0.009166644098963691,0.08348389034112887,0.009166644098963691,8.402736403706586e-05,1,0.32725685013722516,0.01355598006603914,-0.08630001993396086,-0.999999999999971,-0.999999999999971,1
31,REML,10,2,0.0,0.099856,1,0.2789001170641015,0.141072908949758,0.2789001170641015,0.07778527529836952,0,0.5530058030830514,0.1241468023991976,0.024290802399197606,,,1
31,ML,10,2,0.0,0.099856,0,0.010011363899453559,0.08211341441675514,0.010011363899453559,0.00010022740712728198,1,0.3218845845136801,0.011401228147665959,-0.08845477185233404,-0.9999999999652118,-0.9999999999652118,1
31,ML,10,2,0.0,0.099856,1,0.27647464866603766,0.13377793437330168,0.27647464866603766,0.07643823135500896,0,0.5244095027433426,0.10502929181636672,0.005173291816366721,,,1
32,REML,10,2,0.0,0.099856,0,0.14231956710654062,0.07322393286064667,0.14231956710654062,0.02025485918139312,1,0.28703781681373497,0.001568883302432035,-0.09828711669756797,-0.9999999999934649,-0.9999999999934649,1
32,REML,10,2,0.0,0.099856,1,-0.177676433525804,0.1245548701988225,-0.177676433525804,0.03156891503044945,1,0.4882550911793842,0.07434299128389059,-0.02551300871610941,,,1
32,ML,10,2,0.0,0.099856,0,0.14277798059836408,0.07311134954218305,0.14277798059836408,0.02038555174374683,1,0.28659649020535755,0.0013491173467593527,-0.09850688265324065,-0.999999999987518,-0.999999999987518,1
32,ML,10,2,0.0,0.099856,1,-0.17749635395940933,0.11488188910615389,-0.17749635395940933,0.03150495566888392,1,0.4503370052961233,0.05369430055807979,-0.04616169944192021,,,1
33,REML,10,2,0.0,0.099856,0,0.15798196574488468,0.09750213245764264,0.15798196574488468,0.024958301500617917,1,0.3822083592339591,0.028330432979185655,-0.07152556702081435,0.47257768097861813,0.47257768097861813,1
33,REML,10,2,0.0,0.099856,1,0.17920731170764465,0.15839166737415877,0.17920731170764465,0.032115260569480907,1,0.6208953361067023,0.17177670948607635,0.07192070948607635,,,1
33,ML,10,2,0.0,0.099856,0,0.1556989157068872,0.07832493637692813,0.1556989157068872,0.02424215235230037,0,0.3070337505975582,0.006962429315255272,-0.09289357068474473,0.998615544654798,0.998615544654798,1
33,ML,10,2,0.0,0.099856,1,0.1738214212057155,0.14916599702062708,0.1738214212057155,0.030213886469974763,1,0.5847307083208582,0.14428868048973986,0.04443268048973986,,,1
34,REML,10,2,0.0,0.099856,0,0.03206180057390724,0.1653741256883664,0.03206180057390724,0.0010279590560409988,1,0.6482665726983963,0.191517091527695,0.091661091527695,-0.5561137375603635,-0.5561137375603635,1
34,REML,10,2,0.0,0.099856,1,0.25094191091915163,0.16952528752793788,0.25094191091915163,0.06297184265575544,1,0.6645391271095165,0.2048297244265744,0.1049737244265744,,,1
34,ML,10,2,0.0,0.099856,0,0.021999793041865636,0.15041230301733544,0.021999793041865636,0.00048399089388491965,1,0.5896162278279549,0.14715173221088168,0.04729573221088168,-0.6296785767770267,-0.6296785767770267,1
